     index   lat   lon cell_id lon_idx lat_idx pr
1   139100 20.25 13.25   28812     387     221 NA
2   145944 18.25 22.75   32390     406     217 NA
3   145943 18.75 22.75   32391     406     218 NA
4   145942 19.25 22.75   32392     406     219 NA
5   145941 19.75 22.75   32393     406     220 NA
6   146304 18.25 23.25   32598     407     217 NA
7   146303 18.75 23.25   32599     407     218 NA
8   146302 19.25 23.25   32600     407     219 NA
9   146301 19.75 23.25   32601     407     220 NA
10  146664 18.25 23.75   32807     408     217 NA
11  146663 18.75 23.75   32808     408     218 NA
12  146662 19.25 23.75   32809     408     219 NA
13  146661 19.75 23.75   32810     408     220 NA
14  147024 18.25 24.25   33011     409     217 NA
15  147023 18.75 24.25   33012     409     218 NA
16  147022 19.25 24.25   33013     409     219 NA
17  147021 19.75 24.25   33014     409     220 NA
18  147017 21.75 24.25   33018     409     224 NA
19  147384 18.25 24.75   33217     410     217 NA
20  147383 18.75 24.75   33218     410     218 NA
21  147382 19.25 24.75   33219     410     219 NA
22  147381 19.75 24.75   33220     410     220 NA
23  147378 21.25 24.75   33223     410     223 NA
24  147377 21.75 24.75   33224     410     224 NA
25  147744 18.25 25.25   33422     411     217 NA
26  147743 18.75 25.25   33423     411     218 NA
27  147742 19.25 25.25   33424     411     219 NA
28  147741 19.75 25.25   33425     411     220 NA
29  147737 21.75 25.25   33429     411     224 NA
30  148104 18.25 25.75   33628     412     217 NA
31  148103 18.75 25.75   33629     412     218 NA
32  148102 19.25 25.75   33630     412     219 NA
33  148101 19.75 25.75   33631     412     220 NA
34  148097 21.75 25.75   33635     412     224 NA
35  148464 18.25 26.25   33833     413     217 NA
36  148463 18.75 26.25   33834     413     218 NA
37  148462 19.25 26.25   33835     413     219 NA
38  148461 19.75 26.25   33836     413     220 NA
39  148460 20.25 26.25   33837     413     221 NA
40  148459 20.75 26.25   33838     413     222 NA
41  148458 21.25 26.25   33839     413     223 NA
42  148457 21.75 26.25   33840     413     224 NA
43  148824 18.25 26.75   34036     414     217 NA
44  148823 18.75 26.75   34037     414     218 NA
45  148822 19.25 26.75   34038     414     219 NA
46  148821 19.75 26.75   34039     414     220 NA
47  148820 20.25 26.75   34040     414     221 NA
48  148819 20.75 26.75   34041     414     222 NA
49  148818 21.25 26.75   34042     414     223 NA
50  148817 21.75 26.75   34043     414     224 NA
51  149184 18.25 27.25   34239     415     217 NA
52  149183 18.75 27.25   34240     415     218 NA
53  149182 19.25 27.25   34241     415     219 NA
54  149181 19.75 27.25   34242     415     220 NA
55  149180 20.25 27.25   34243     415     221 NA
56  149179 20.75 27.25   34244     415     222 NA
57  149178 21.25 27.25   34245     415     223 NA
58  149177 21.75 27.25   34246     415     224 NA
59  149544 18.25 27.75   34440     416     217 NA
60  149543 18.75 27.75   34441     416     218 NA
61  149542 19.25 27.75   34442     416     219 NA
62  149541 19.75 27.75   34443     416     220 NA
63  149540 20.25 27.75   34444     416     221 NA
64  149539 20.75 27.75   34445     416     222 NA
65  149538 21.25 27.75   34446     416     223 NA
66  149537 21.75 27.75   34447     416     224 NA
67  149904 18.25 28.25   34639     417     217 NA
68  149903 18.75 28.25   34640     417     218 NA
69  149902 19.25 28.25   34641     417     219 NA
70  149901 19.75 28.25   34642     417     220 NA
71  149900 20.25 28.25   34643     417     221 NA
72  149899 20.75 28.25   34644     417     222 NA
73  149898 21.25 28.25   34645     417     223 NA
74  149897 21.75 28.25   34646     417     224 NA
75  150264 18.25 28.75   34834     418     217 NA
76  150263 18.75 28.75   34835     418     218 NA
77  150262 19.25 28.75   34836     418     219 NA
78  150261 19.75 28.75   34837     418     220 NA
79  150260 20.25 28.75   34838     418     221 NA
80  150259 20.75 28.75   34839     418     222 NA
81  150258 21.25 28.75   34840     418     223 NA
82  150257 21.75 28.75   34841     418     224 NA
83  150624 18.25 29.25   35028     419     217 NA
84  150623 18.75 29.25   35029     419     218 NA
85  150622 19.25 29.25   35030     419     219 NA
86  150621 19.75 29.25   35031     419     220 NA
87  150620 20.25 29.25   35032     419     221 NA
88  150619 20.75 29.25   35033     419     222 NA
89  150618 21.25 29.25   35034     419     223 NA
90  150617 21.75 29.25   35035     419     224 NA
91  150984 18.25 29.75   35218     420     217 NA
92  150983 18.75 29.75   35219     420     218 NA
93  150982 19.25 29.75   35220     420     219 NA
94  150981 19.75 29.75   35221     420     220 NA
95  150980 20.25 29.75   35222     420     221 NA
96  150979 20.75 29.75   35223     420     222 NA
97  150978 21.25 29.75   35224     420     223 NA
98  150977 21.75 29.75   35225     420     224 NA
99  153860 20.25 33.75   36684     428     221 NA
100 153859 20.75 33.75   36685     428     222 NA
101 153858 21.25 33.75   36686     428     223 NA
102 153857 21.75 33.75   36687     428     224 NA
103 162129 25.75 45.25   40205     451     232 NA
104 162128 26.25 45.25   40206     451     233 NA
105 162127 26.75 45.25   40207     451     234 NA
106 162126 27.25 45.25   40208     451     235 NA
107 162489 25.75 45.75   40357     452     232 NA
108 162488 26.25 45.75   40358     452     233 NA
109 162487 26.75 45.75   40359     452     234 NA
110 162486 27.25 45.75   40360     452     235 NA
111 162849 25.75 46.25   40507     453     232 NA
112 162848 26.25 46.25   40508     453     233 NA
113 162847 26.75 46.25   40509     453     234 NA
114 162846 27.25 46.25   40510     453     235 NA
115 163209 25.75 46.75   40657     454     232 NA
116 163208 26.25 46.75   40658     454     233 NA
117 163207 26.75 46.75   40659     454     234 NA
118 163206 27.25 46.75   40660     454     235 NA
119 163569 25.75 47.25   40807     455     232 NA
120 163568 26.25 47.25   40808     455     233 NA
121 163567 26.75 47.25   40809     455     234 NA
122 163566 27.25 47.25   40810     455     235 NA
123 163929 25.75 47.75   40950     456     232 NA
124 163928 26.25 47.75   40951     456     233 NA
125 163927 26.75 47.75   40952     456     234 NA
126 163926 27.25 47.75   40953     456     235 NA
127 164289 25.75 48.25   41089     457     232 NA
128 164288 26.25 48.25   41090     457     233 NA
129 164287 26.75 48.25   41091     457     234 NA
130 164286 27.25 48.25   41092     457     235 NA
131 164649 25.75 48.75   41227     458     232 NA
132 164648 26.25 48.75   41228     458     233 NA
133 164647 26.75 48.75   41229     458     234 NA
134 164646 27.25 48.75   41230     458     235 NA
135 164645 27.75 48.75   41231     458     236 NA
